Issue number,Title,Description,Date created,Date modified,Labels,Milestone,Status,Assignee,Reporter
186,Error Deleting Appointment (Validation),"Error message from JavaScript saying that all the fields need to be filled out. I believe this is because of validation, it needs to be assigned to specific fields only when the Create Appointment button is pressed and not for all fields and running on every button. 
![screen shot 2015-02-27 at 16 22 42](https://cloud.githubusercontent.com/assets/8761562/6416301/13a8f53e-be9d-11e4-939b-cd4b94267cea.png)
",27/Feb/15 12:24 PM,16/Mar/15  7:53 AM,Awaiting Merge bug High Priority web ,None,closed,benmcgregor,stephent23
185,Adding need login function to views,"",27/Feb/15 11:13 AM,27/Feb/15 11:13 AM,"",None,closed,None,benmcgregor
184,Notification error,"I just tried to connect a patient and a carer, the account that enters the verification code then receives an error to do with the notification stating the relationship doesn't exist.

The connection went through and I can still log in as the other user.

![image](https://cloud.githubusercontent.com/assets/8849593/6401822/1e4a33ce-bdfb-11e4-86f2-4adf8461d19a.png)

Error can be seen if logging in as username 'janedoe' & password 'hello'.
Connection was with 'joebloggs' & 'hello'",26/Feb/15  5:08 PM,04/Mar/15 12:18 PM,Awaiting Merge ,None,closed,stephent23,benmcgregor
183,Prescription Update,Stops errors due to missing frequencyUnit and Repeat. It's not yet been removed from the front end but will allow the application to actually work!,26/Feb/15  5:57 AM,26/Feb/15  5:57 AM,"",None,closed,None,RichLogan
182,Deleting an appointment where notification is still stored causes error,"Deleted an appointment from carer dashboard, if a notification is still stored in the database for it, it causes an error because the relative appointment is no longer there.",23/Feb/15  6:20 AM,04/Mar/15 12:18 PM,Awaiting Merge ,None,closed,stephent23,benmcgregor
181,Iteration9designs,"",22/Feb/15  3:58 PM,22/Feb/15  4:00 PM,"",None,closed,None,benmcgregor
180,Fixes #177,"This ensures that appointments  are displayed in upcoming/on the dashboard until the time that the end, not the time that they start. Fixes #177",22/Feb/15  3:05 PM,22/Feb/15  3:05 PM,"",None,closed,None,stephent23
179,Notifications,"- Includes android password change, both optional and forced (excl. notifications on android) ",22/Feb/15  1:43 PM,22/Feb/15  1:43 PM,"",None,closed,None,stephent23
178,Notifications Web/API,"Contained in this merge: 

- Notifications
  - Connection Request
  - Connection Accept
  - New Prescription Added 
  - Prescription Updated
  - Appointment Added
  - Appointment Updated
  - Appointment Cancelled
  - Reset Password Recommended (Expiring 10 days)
  - Reset Password Now (Expired/Forced)
- Ability to accept and decline appointments
  - This is including feedback to users as well on both patient and carer dashboards and in the appointment pages. 

",22/Feb/15  1:03 PM,22/Feb/15  1:05 PM,"",None,closed,stephent23,stephent23
177,Past Appointments,Appointments are classed as past if past the start datetime. This should probably be past the END datetime. ,20/Feb/15  1:14 PM,22/Feb/15  3:05 PM,API ,None,closed,stephent23,RichLogan
176,Validation,"Will start a new validation branch this weekend, merging before meeting with Yang",19/Feb/15  5:24 PM,19/Feb/15  5:24 PM,"",None,closed,None,benmcgregor
175,Reminders web,"Reminders Web isn't finished, but I'm merging this now because there's tonnes of other changes and nothing is broken just not completely finished. Also contains working notifications from Steve :)

Changelist: 

- Dashboard code layout should be better. 
- Notifications
- Logged in user's Profile Picture on dashboard
- Notification Drawer + Animation
- JS Changes cleaned up. 
- Appointment reminders create / delete
-  Signalling to create reminders when a condition is met
- Connections modal opens automatically if changes to connections. ",19/Feb/15  3:43 PM,19/Feb/15  3:44 PM,"",None,closed,None,RichLogan
174,Validation -not closing branch,"",18/Feb/15  5:55 AM,18/Feb/15  5:56 AM,"",None,closed,None,benmcgregor
173,Change Password updates,"",17/Feb/15 12:46 PM,17/Feb/15 12:46 PM,"",None,closed,None,RichLogan
172,All fields must be filled out,"JavaScript 'all fields function'  on the dashboard is causing all form tags to break. 
Example: with the delete connection ",16/Feb/15 11:42 AM,17/Mar/15 10:26 AM,Awaiting Merge High Priority web ,None,closed,benmcgregor,charlottehutchinson
171,Reset Password,"If you reset your password and give invalid details, username is not refilled then causing a ```Client.DoesNotExist```",16/Feb/15 11:33 AM,17/Feb/15  7:10 PM,API Medium Priority ,None,closed,stephent23,RichLogan
170,Resetting Password,I think resetting password is setting ```verified=False``` and ```iscurrent=False``` for everyone?,16/Feb/15  7:48 AM,22/Feb/15  5:52 PM,API database ,None,closed,stephent23,RichLogan
169,EditProfile,"web- ```IndexError: list index out of range``` when profile picture not submitted in form


Edit profile android- when you press back the page crashes",16/Feb/15  5:36 AM,02/Mar/15 11:53 AM,Awaiting Merge ,None,closed,RichLogan,RichLogan
168,Password reset android,"Before merge can be completed, this needs to be tested with 'notifications' branch running on raptor. Should be fine though.",15/Feb/15  7:35 PM,22/Feb/15  1:42 PM,"",None,closed,stephent23,stephent23
167,No Current Password,"Small issue, no error handling on attempting to login with no ```iscurrent=True``` password for a specific user. 

Also @stephent23 not sure if it was you but everything in the DB got set to ```iscurrent=False```, is that because of expiry or something? Not an issue, just wondering. ",15/Feb/15  2:26 PM,22/Feb/15  5:52 PM,API Medium Priority ,None,closed,stephent23,RichLogan
166,Appointment bug fix,File indentation also fixed,14/Feb/15  8:00 PM,14/Feb/15  8:00 PM,"",None,closed,None,benmcgregor
165,Profile Picture Android,"Highlights:

- Profile Picture loaded into Profile page
- New class ```LoadImage``` to load a web image into a TextView
- New method ```Request.getProfilePictureURL()``` to build up the correct URL for a given profile picture filename (as given by ```api.getAccountInfo()```)
- Removed method ```Request.postNoParams()``` as it is never used
- Documentation for ```LoadImage```
- Documentation for ```Request```

Rich",11/Feb/15  3:37 PM,11/Feb/15  3:39 PM,"",None,closed,None,RichLogan
164,Search 1.1,"**Don't merge this just yet**

Requires @benmcgregor's updates to ```Views ``` and ```Dashboard```",11/Feb/15 11:59 AM,19/Feb/15 10:09 AM,"",None,closed,None,RichLogan
162,Connections Design,"
- [x] Enter Code Box (to accept a connection) is off centre

![screen shot 2015-02-10 at 18 25 11](https://cloud.githubusercontent.com/assets/8761562/6133628/0358346c-b153-11e4-80ce-d4a54af217c1.png)
",10/Feb/15  2:31 PM,16/Mar/15 12:29 PM,Awaiting Merge Medium Priority web ,Iteration 7,closed,charlottehutchinson,stephent23
161,Profile Picture Web + API,"",09/Feb/15  5:01 AM,09/Feb/15  5:34 AM,"",None,closed,None,RichLogan
160,Android design,"- Connections v2
- Forms
- Page Layout
- FontAwesome Icons",09/Feb/15  4:48 AM,09/Feb/15  4:55 AM,"",None,closed,None,RichLogan
